id,name,code,parent_id:id,type,user_type:id,reconcile
a_root,"TAME TECH INTERNATIONAL CO., LTD.",0,,View,account.data_account_type_view,FALSE
10,Statement of Financial Position,10,a_root,View,account.data_account_type_view,FALSE
1,สินทรัพย์,1,10,View,account.data_account_type_view,FALSE
11,สินทรัพย์หมุนเวียน,11,1,View,account.data_account_type_view,FALSE
111,เงินสดและเงินฝากธนาคาร,111,11,View,account.data_account_type_view,FALSE
1110,เงินสดย่อย,1110,111,Liquidity,account.data_account_type_cash,FALSE
a_bank,เงินฝากออมทรัพย์-ธนาคารไทยพาณิชย์ มาบตาพุด,11110,111,Liquidity,account.data_account_type_bank,FALSE
11120,เงินฝากออมทรัพย์-ธนาคารทหารไทย ระยอง 2,11120,111,Liquidity,account.data_account_type_bank,FALSE
11130,เงินฝากกระแสรายวัน-ธนาคารไทยพาณิชย์ มาบตาพุด,11130,111,Liquidity,account.data_account_type_bank,FALSE
11140,เงินฝากกระแสรายวัน-ธนาคารทหารไทย ระยอง 2,11140,111,Liquidity,account.data_account_type_bank,FALSE
112,ลูกหนี้,112,11,View,account.data_account_type_view,FALSE
1121,ลูกหนี้การค้า,1121,112,View,account.data_account_type_view,FALSE
a_recv,ลูกหนี้การค้า,11210,1121,Receivable,account.data_account_type_receivable,TRUE
1122,ลูกหนี้เงินให้กู้ยืม,1122,112,View,account.data_account_type_view,FALSE
11221,ลูกหนี้เงินให้กู้ยืมแก่กรรมการและพนักงาน,11221,1122,Regular,account.data_account_type_asset,FALSE
11222,ลูกหนี้เงินกู้ยืม-บจ.แสนสบาย,11222,1122,Regular,account.data_account_type_asset,FALSE
11223,ลูกหนี้เงินให้กู้ยืมอื่น ๆ,11223,1122,Regular,account.data_account_type_asset,FALSE
1123,ค่าใช้จ่ายจ่ายล่วงหน้า,1123,112,View,account.data_account_type_view,FALSE
11231,ค่าใช้จ่ายซื้อสินค้าล่วงหน้า,11231,1123,Regular,account.data_account_type_asset,FALSE
11232,เงินทดรองจ่ายซื้อสินค้า,11232,1123,Regular,account.data_account_type_asset,FALSE
1124,ภาษีรับ,1124,112,View,account.data_account_type_view,FALSE
a_input_vat,ภาษีซื้อ,11241,1124,Regular,account.data_account_type_asset,FALSE
11242,ภาษีซื้อยังไม่ถึงกำหนดชำระ,11242,1124,Regular,account.data_account_type_asset,FALSE
11243,ลูกหนี้-กรมสรรพากร,11243,1124,Regular,account.data_account_type_asset,FALSE
a_wht_income,ภาษีถูกหัก ณ ที่จ่าย,11244,1124,Regular,account.data_account_type_asset,FALSE
113,สินค้าคงเหลือ,113,11,View,account.data_account_type_view,FALSE
11310,สินค้าคงคลัง,11310,113,Regular,account.data_account_type_asset,FALSE
11320,สินค้าระหว่างทำ,11320,113,Regular,account.data_account_type_asset,FALSE
11330,สินค้าสำเร็จรูป,11330,113,Regular,account.data_account_type_asset,FALSE
11340,งานระหว่างทำ,11340,113,Regular,account.data_account_type_asset,FALSE
114,ค่าใช้จ่ายจ่ายล่วงหน้า เงินมัดจำและสินทรัพย์หมุนเวียนอื่น,114,11,View,account.data_account_type_view,FALSE
1140,ค่าใช้จ่ายจ่ายล่วงหน้า,1140,114,View,account.data_account_type_view,FALSE
11401,เบี้ยประกันภัยรถยนต์จ่ายล่วงหน้า,11401,1140,Regular,account.data_account_type_asset,FALSE
11402,เบี้ยประกันสุขภาพพนักงานจ่ายล่วงหน้า,11402,1140,Regular,account.data_account_type_asset,FALSE
11403,เบี้ยประกันภัยโจรกรรมจ่ายล่วงหน้า,11403,1140,Regular,account.data_account_type_asset,FALSE
11404,เบี้ยประกันอัคคีภัยจ่ายล่วงหน้า,11404,1140,Regular,account.data_account_type_asset,FALSE
1141,เงินมัดจำ,1141,114,View,account.data_account_type_view,FALSE
11411,เงินมัดจำท่อก๊าซ,11411,1141,Regular,account.data_account_type_asset,FALSE
11412,ซอฟท์แวร์บัญชีระหว่างทำ,11412,1141,Regular,account.data_account_type_asset,FALSE
11413,เงินมัดจำอื่น ๆ,11413,1141,Regular,account.data_account_type_asset,FALSE
1142,สินทรัพย์หมุนเวียนอื่น,1142,114,View,account.data_account_type_view,FALSE
11421,สินทรัพย์หมุนเวียนอื่น,11421,1142,Regular,account.data_account_type_asset,FALSE
11422,ดอกเบี้ยรอตัดจ่าย,11422,1142,Regular,account.data_account_type_asset,FALSE
11423,ดอกเบี้ยค้างรับ,11423,1142,Regular,account.data_account_type_asset,FALSE
12,สินทรัพย์ไม่หมุนเวียน,12,1,View,account.data_account_type_view,FALSE
121,ที่ดิน อาคารและอุปกรณ์,121,12,View,account.data_account_type_view,FALSE
12110,ที่ดิน,12110,121,Regular,account.data_account_type_asset,FALSE
12120,อาคาร,12120,121,Regular,account.data_account_type_asset,FALSE
12130,"ส่วนปรับปรุงที่ดิน (ค่าทำถนน,ค่าทำร้ว,ค่าทำท่อระบายน้ำ)",12130,121,Regular,account.data_account_type_asset,FALSE
12140,ส่วนปรับปรุงอาคาร ,12140,121,Regular,account.data_account_type_asset,FALSE
122,เครื่องตกแต่งและเครื่องใช้สำนักงาน,122,12,View,account.data_account_type_view,FALSE
12210,เฟอร์นิเจอร์,12210,122,Regular,account.data_account_type_asset,FALSE
12220,เครื่องตกแต่งและติดตั้ง,12220,122,Regular,account.data_account_type_asset,FALSE
12230,อุปกรณ์สำนักงาน,12230,122,Regular,account.data_account_type_asset,FALSE
12240,เครื่องมือและสินทรัพย์อื่น,12240,122,Regular,account.data_account_type_asset,FALSE
12250,ยานพาหนะ,12250,122,Regular,account.data_account_type_asset,FALSE
12260,ซอฟท์แวร์บัญชี,12260,122,Regular,account.data_account_type_asset,FALSE
123,ค่าเสื่อมราคาสะสม,123,12,View,account.data_account_type_view,FALSE
12310,ค่าเสื่อมราคาสะสม-อาคาร,12310,123,Regular,account.data_account_type_asset,FALSE
12320,ค่าเสื่อมราคาสะสม-ส่วนปรับปรุงที่ดิน,12320,123,Regular,account.data_account_type_asset,FALSE
12330,ค่าเสื่อมราคาสะสม-ส่วนปรับปรุงอาคาร,12330,123,Regular,account.data_account_type_asset,FALSE
12340,ค่าเสื่อมราคาสะสม-เฟอร์นิเจอร์,12340,123,Regular,account.data_account_type_asset,FALSE
12350,ค่าเสื่อมราคาสะสม-เครื่องตกแต่งและติดตั้ง,12350,123,Regular,account.data_account_type_asset,FALSE
